frame_index,exercise,rep_id,is_form_ok,angles
22,squat,1,True,"{'knee': np.float64(54.968855865965), 'elbow': np.float64(36.12736728134243)}"
23,squat,1,True,"{'knee': np.float64(54.20756071591717), 'elbow': np.float64(38.76858036739039)}"
24,squat,1,True,"{'knee': np.float64(53.121636308357154), 'elbow': np.float64(37.94769399215881)}"
25,squat,1,True,"{'knee': np.float64(52.96940566212896), 'elbow': np.float64(37.250481171778205)}"
26,squat,1,True,"{'knee': np.float64(53.96912927787872), 'elbow': np.float64(34.66942524021652)}"
27,squat,1,True,"{'knee': np.float64(56.17837790817282), 'elbow': np.float64(36.1990017331056)}"
28,squat,1,True,"{'knee': np.float64(56.955011663967184), 'elbow': np.float64(37.35207088876502)}"
29,squat,1,True,"{'knee': np.float64(61.42039253528975), 'elbow': np.float64(52.77108262509021)}"
30,squat,1,True,"{'knee': np.float64(65.93766955963576), 'elbow': np.float64(49.726003060631776)}"
31,squat,1,True,"{'knee': np.float64(70.91961244519428), 'elbow': np.float64(52.96344377646289)}"
32,squat,1,True,"{'knee': np.float64(77.74739665962369), 'elbow': np.float64(60.98451632329725)}"
33,squat,1,True,"{'knee': np.float64(85.22531067778613), 'elbow': np.float64(66.56555800219986)}"
34,squat,1,True,"{'knee': np.float64(91.07276485804073), 'elbow': np.float64(71.23415963870376)}"
35,squat,1,True,"{'knee': np.float64(97.0723415186527), 'elbow': np.float64(68.97249284067935)}"
36,squat,1,True,"{'knee': np.float64(105.16118222133295), 'elbow': np.float64(69.83047079028645)}"
37,squat,1,True,"{'knee': np.float64(112.82776984195044), 'elbow': np.float64(65.72964695770393)}"
38,squat,1,True,"{'knee': np.float64(118.375049805717), 'elbow': np.float64(67.81676226142709)}"
39,squat,1,True,"{'knee': np.float64(126.3373720728645), 'elbow': np.float64(68.72105160995491)}"
40,squat,1,True,"{'knee': np.float64(133.07271293913539), 'elbow': np.float64(67.84010000435919)}"
41,squat,1,True,"{'knee': np.float64(140.06741467451806), 'elbow': np.float64(75.23524565775399)}"
42,squat,1,True,"{'knee': np.float64(146.89491815393404), 'elbow': np.float64(78.81392331989906)}"
43,squat,1,True,"{'knee': np.float64(153.67077461016112), 'elbow': np.float64(87.52748924868003)}"
44,pushup,0,True,"{'knee': np.float64(160.42306293862075), 'elbow': np.float64(91.62556526824457)}"
45,pushup,0,True,"{'knee': np.float64(167.40845936371267), 'elbow': np.float64(94.36325902366417)}"
46,pushup,0,True,"{'knee': np.float64(173.81321923736292), 'elbow': np.float64(96.28987503384208)}"
47,pushup,0,True,"{'knee': np.float64(175.95963922570536), 'elbow': np.float64(99.80871263320124)}"
48,pushup,0,True,"{'knee': np.float64(178.87157423004712), 'elbow': np.float64(101.40279046188675)}"
49,pushup,0,True,"{'knee': np.float64(179.52517775162656), 'elbow': np.float64(101.65727084760594)}"
50,pushup,0,True,"{'knee': np.float64(179.95499566596686), 'elbow': np.float64(110.94590898961455)}"
51,pushup,0,True,"{'knee': np.float64(179.0130988007727), 'elbow': np.float64(99.99397362204348)}"
52,pushup,0,True,"{'knee': np.float64(177.92934386912052), 'elbow': np.float64(101.03945214010733)}"
53,pushup,0,True,"{'knee': np.float64(176.7443823683547), 'elbow': np.float64(101.43179350082183)}"
54,pushup,0,True,"{'knee': np.float64(174.79789331912698), 'elbow': np.float64(107.1833614586216)}"
55,pushup,0,True,"{'knee': np.float64(171.994654532557), 'elbow': np.float64(106.36323596601694)}"
56,pushup,0,True,"{'knee': np.float64(164.01921224312824), 'elbow': np.float64(101.00698030927244)}"
57,squat,1,True,"{'knee': np.float64(156.19769063978524), 'elbow': np.float64(74.72837108669746)}"
